id1,id2,lat,lon,el
1,AB_GSIMS_578,55.067,-118.733,670
2,AB_GSIMS_1956,49.667,-110.25,1160
3,AB_GSIMS_2186,54.717,-115.417,1160
4,AB_GSIMS_2193,53.9,-119.067,1220
5,AB_GSIMS_2206,54.65,-118.833,1021
6,AB_GSIMS_2212,54.417,-119,1189
7,AB_GSIMS_2235,55.633,-113.45,914
8,AB_GSIMS_2237,59.7,-117.983,731
9,AB_GSIMS_2424,49.917,-114.083,1432
10,AB_GSIMS_2426,51.333,-114.583,1371
11,AB_GSIMS_2428,52.167,-115.667,1676
12,AB_GSIMS_2430,53.083,-115.5,975
13,AB_GSIMS_2431,55.25,-116.167,792
14,AB_GSIMS_2432,56.167,-118.5,609
15,AB_GSIMS_2433,56.25,-118.917,609
16,AB_GSIMS_2437,55.083,-119.417,701
17,AB_GSIMS_2507,52.633,-116.083,1520
18,AB_GSIMS_2508,53.2,-117.533,1360
19,AB_GSIMS_2509,53.733,-116.583,1000
20,AB_GSIMS_2658,53.5,-116.167,1090
21,AB_GSIMS_2717,50.667,-115.083,1860
22,AB_GSIMS_2835,58.75,-115.417,825
23,AB_GSIMS_3116,54.033,-116.067,990
24,AB_GSIMS_3242,52.967,-115.917,1067
25,AB_GSIMS_3243,53.883,-116.833,1069
26,AB_GSIMS_3444,58.633,-118.8,625
27,AB_GSIMS_4021,56.55,-119.867,945
28,AB_GSIMS_4022,57.767,-116.533,755
29,AB_GSIMS_4968,53.683,-115.833,835
30,AB_GSIMS_5601,49.667,-110.167,1299
31,AB_GSIMS_5766,49.631,-114.637,1364
32,AB_GSIMS_5767,49.867,-114,1662
33,AB_GSIMS_5881,55.717,-119.667,791
34,AB_GSIMS_5907,56.7,-119.2,1025
35,AB_GSIMS_5908,56.333,-119.95,742
36,AB_GSIMS_5909,54.767,-119.4,1016
37,AB_GSIMS_5910,54.55,-119.2,1162
38,AB_GSIMS_6098,52.65,-115.1,940
39,AB_GSIMS_6099,52.501,-115.512,1152
40,AB_GSIMS_6110,52.079,-115.484,1655
41,AB_GSIMS_6111,52.178,-115.431,1476
42,AB_GSIMS_6112,51.957,-115.217,1392
43,AB_GSIMS_6115,57.72,-119.544,964
44,AB_GSIMS_6121,53.944,-119.314,1393
45,AB_GSIMS_6122,53.916,-118.911,1207
46,AB_GSIMS_6134,53.835,-119.614,1713
47,AB_GSIMS_6324,54.267,-116.867,900
48,AB_GSIMS_6328,58.565,-119.308,645
49,AB_GSIMS_6330,57.289,-118.409,699
50,AB_GSIMS_6333,57.237,-118.25,725
51,AB_GSIMS_6338,54.361,-116.184,940
52,AB_GSIMS_6339,55.013,-115.176,902
53,AB_GSIMS_6340,54.839,-116.448,905
54,AB_GSIMS_6343,52.5,-116.029,1586
55,AB_GSIMS_6345,55.526,-113.975,853
56,AB_GSIMS_6349,49.734,-114.447,2042
57,AB_GSIMS_6350,56.633,-119.209,1030
58,AB_GSIMS_6355,57.323,-118.961,992
59,AB_GSIMS_6356,54.74,-117.394,809
60,AB_GSIMS_6358,54.402,-115.561,1039
61,AB_GSIMS_6361,52.137,-116.859,1748
62,AB_GSIMS_6362,52.107,-116.568,1944
63,AB_GSIMS_6363,54.739,-115.902,1272
64,AB_Industry_260,51.577,-114.629,1200
65,AB_Industry_1384,51.14,-114.624,1263
66,AB_Industry_2931,53.054,-117.396,1707
67,AB_Industry_3344,49.575,-114.737,1500
68,AB_Industry_3824,53.331,-117.031,1140
69,AB_Industry_4121,52.952,-116.402,1330
70,AB_Industry_4144,53.272,-116.665,1060
71,AB_Industry_4172,53.04,-117.372,1700
72,AB_Industry_4188,53.127,-117.153,1400
73,AB_Industry_4193,50.157,-114.485,1872
74,AB_Industry_4424,52.938,-117.32,1870
75,AB_Industry_4726,53.054,-116.032,1245
76,AB_SRD_241,53.759,-116.894,1219
77,AB_SRD_334,56.466,-117.394,634
78,AB_SRD_910,53.672,-117.46,1219
79,AB_SRD_1034,52.275,-115.067,1067
80,AB_SRD_2206,54.371,-116.771,915
81,AB_SRD_2239,53.585,-117.018,1097
82,AB_SRD_2340,50.899,-114.7,1371
83,AB_SRD_2379,51.7,-115.212,1828
84,AB_SRD_2446,49.393,-114.332,1370
85,AB_SRD_2644,50.965,-114.903,1737
86,AB_SRD_3087,57.687,-115.719,639
87,AB_SRD_3283,49.043,-113.536,1400
88,AB_SRD_4032,49.619,-110.327,1458
89,AB_SRD_4348,55.658,-119.274,895
90,AB_SRD_4460,53.766,-117.7,1270
91,AB_SRD_4462,53.767,-117.204,1130
92,AB_SRD_4619,52.079,-115.983,1738
93,AB_SRD_4620,52.05,-115.936,1879
94,AB_SRD_4707,49.648,-110.304,1398
95,AB_SRD_4709,58.653,-117.475,782
96,AB_SRD_4711,51.031,-114.775,1403
97,AB_SRD_4731,51.482,-115.18,1744
98,AB_SRD_4732,51.467,-114.734,1388
99,AB_SRD_4743,56.923,-115.781,777
100,AB_SRD_4737,56.879,-116.103,749
101,AB_SRD_4738,54.596,-117.159,813
102,AB_SRD_4740,55.92,-116.566,723
103,BC_TSC_2100,55.067,-128.25,152
104,BC_TSC_2175,50.917,-120.083,1402
105,BC_TSC_2237,55.583,-123.583,732
106,BC_TSC_4791,54.967,-127.3,427
107,BC_TSC_5750,50.35,-118.033,700
108,BC_TSC_5801,49.25,-115.7,1400
109,BC_TSC_5802,49.583,-115.833,989
110,BC_TSC_10155,51.5,-117,1400
111,BC_TSC_14331,52.167,-124.183,1370
112,BC_TSC_19917,49.1,-115.933,1300
113,BC_TSC_25378,50.467,-118.95,1082
114,BC_TSC_27132,51.217,-119.75,1650
115,BC_TSC_28832,54.817,-128.287,200
116,BC_TSC_29146,56.917,-125.05,680
117,BC_TSC_30010,52.475,-123.792,1400
118,BC_TSC_30016,53.383,-132.033,50
119,BC_TSC_30466,51.317,-120.322,1350
120,BC_TSC_30588,49.817,-119.983,1280
121,BC_TSC_30659,51.683,-119.583,1000
122,BC_TSC_30759,55.417,-120.75,1050
123,BC_TSC_30881,50.2,-118.467,1400
124,BC_TSC_30896,50.567,-120.333,1100
125,BC_TSC_30921,53.017,-121.117,1030
126,BC_TSC_31146,53.25,-125.2,1240
127,BC_TSC_31258,50.839,-116.503,1440
128,BC_TSC_31838,49.633,-118.633,1670
129,BC_TSC_32008,51,-122.05,1550
130,BC_TSC_32013,51.15,-122.183,1350
131,BC_TSC_32151,55.483,-127.9,490
132,BC_TSC_32352,54.65,-127.35,1050
133,BC_TSC_32356,54.817,-127.7,925
134,BC_TSC_32361,54.767,-127,800
135,BC_TSC_32586,49.267,-120.767,1650
136,BC_TSC_32594,51.072,-118.833,1250
137,BC_TSC_32707,54.317,-123.183,800
138,BC_TSC_33180,51.483,-120.35,1270
139,BC_TSC_33286,49.4,-115.95,1500
140,BC_TSC_33351,49.717,-118.033,1750
141,BC_TSC_34837,49.367,-116.667,1700
142,BC_TSC_34982,57.5,-130.333,800
143,BC_TSC_34984,57.128,-130.36,700
144,BC_TSC_34994,54.817,-128.75,325
145,BC_TSC_35264,53.867,-122.033,900
146,BC_TSC_35648,49.217,-117.533,1100
147,BC_TSC_35696,49.267,-117.983,1370
148,BC_TSC_36033,50.483,-115.683,1000
149,BC_TSC_37355,49.5,-120.95,1100
150,BC_TSC_37721,53.533,-123.05,765
151,BC_TSC_39001,52.083,-121.05,1460
152,BC_TSC_39068,53.067,-121.45,1300
153,BC_TSC_39124,49.317,-116.267,1820
154,BC_TSC_39178,49.617,-115.283,1100
155,BC_TSC_39291,49.883,-119.7,1140
156,BC_TSC_39381,52.867,-119.283,850
157,BC_TSC_39394,52.767,-119.167,900
158,BC_TSC_39464,56.923,-121.404,815
159,BC_TSC_39525,51,-122.683,1530
160,BC_TSC_39538,51.133,-122.583,1860
161,BC_TSC_39561,59.933,-129.1,880
162,BC_TSC_40111,58.6,-122.717,482
163,BC_TSC_40303,55.617,-126.05,750
164,BC_TSC_40374,49.442,-119.1,800
165,BC_TSC_40379,49.567,-118.883,1300
166,BC_TSC_40411,53.267,-122,1220
167,BC_TSC_40413,53.204,-122.666,800
168,BC_TSC_40681,55.9,-126.467,1000
169,BC_TSC_40780,51.583,-119.733,500
170,BC_TSC_40905,49.167,-117.8,950
171,BC_TSC_40986,59.533,-123.683,480
172,BC_TSC_41276,49.783,-120.4,1585
173,BC_TSC_41511,49.617,-116.017,960
174,BC_TSC_42249,49.533,-120.017,1910
175,BC_TSC_42321,51.05,-120.567,1610
176,BC_TSC_42322,50.583,-120.533,1325
177,BC_TSC_42450,49.733,-121.017,1000
178,BC_TSC_42474,49.2,-124.4,750
179,BC_TSC_42629,51.517,-123.3,1560
180,BC_TSC_43118,56.383,-122.883,1375
181,BC_TSC_43121,55.917,-122.45,1000
182,BC_TSC_43171,49.95,-119.283,1360
183,BC_TSC_43262,50,-115.808,920
184,BC_TSC_43269,49.05,-116.033,1100
185,BC_TSC_43278,51.617,-119.983,710
186,BC_TSC_43288,53.783,-121.75,750
187,BC_TSC_43442,51.167,-117.1,1890
188,BC_TSC_43487,49.05,-115.283,850
189,BC_TSC_43489,49.383,-115.683,1975
190,BC_TSC_43690,50.5,-122.733,650
191,BC_TSC_43694,50.267,-122.85,400
192,BC_TSC_43988,56.45,-125.65,1300
193,BC_TSC_44028,50.7,-119.128,800
