SNP,shoot_mass,growth_init,growth_cess,cold_injury,scaffold,contig,pos.on.contig,is.signif
tscaffold5190_95408_105432__8605,0.769058,0.472255,0.340916,0.161717,tscaffold5190,tscaffold5190_95408_105432,8605,0
scaffold645254_42597_53523__7459,0.380095,0.396623,0.274025,0.406843,scaffold645254,scaffold645254_42597_53523,7459,0
tscaffold3497_136420_140589__3213,0.973476,0.768363,0.786477,0.6799,tscaffold3497,tscaffold3497_136420_140589,3213,0
scaffold277935_9667_24908__8680,0.810101,0.960873,0.990752,0.922411,scaffold277935,scaffold277935_9667_24908,8680,0
tscaffold229_542524_545521__2604,0.426028,0.909623,0.518926,0.832324,tscaffold229,tscaffold229_542524_545521,2604,0
scaffold335501_14544_19343__3155,0.998427,0.757506,0.731172,0.773903,scaffold335501,scaffold335501_14544_19343,3155,0
C30678440_285_1373__410,0.960632,0.566149,0.966627,0.949166,C30678440,C30678440_285_1373,410,0
C31226938_2950_3493__151,0.595775,0.398846,0.55361,0.755781,C31226938,C31226938_2950_3493,151,0
C31849960_9926_11991__720,0.871493,0.972717,0.860179,0.834097,C31849960,C31849960_9926_11991,720,0
C31877468_5573_9187__2697,0.777974,0.885576,0.846185,0.609602,C31877468,C31877468_5573_9187,2697,0
C31898040_3011_3861__286,0.784579,0.774297,0.94279,0.594455,C31898040,C31898040_3011_3861,286,0
C32007454_7463_9667__1330,0.677744,0.745677,0.919753,0.917088,C32007454,C32007454_7463_9667,1330,0
C32022918_11616_14403__2275,0.612801,0.940618,0.837546,0.486347,C32022918,C32022918_11616_14403,2275,0
C32077414_10814_16324__241,0.975765,0.989936,0.933446,0.880326,C32077414,C32077414_10814_16324,241,0
C32161254_5229_7866__1671,0.719706,0.922322,0.420926,0.86658,C32161254,C32161254_5229_7866,1671,0
C32171594_18680_19109__135,0.9478,0.52417,0.98997,0.485315,C32171594,C32171594_18680_19109,135,0
C32203688_1395_4500__3059,0.946971,0.904084,0.964106,0.816372,C32203688,C32203688_1395_4500,3059,0
C32204638_12405_13213__730,0.370633,0.831618,0.621206,0.812477,C32204638,C32204638_12405_13213,730,0
C32213582_4638_11133__1467,0.665043,0.928404,0.545792,0.819326,C32213582,C32213582_4638_11133,1467,0
C32417314_41604_44630__1694,0.927571,0.280541,0.730594,0.287558,C32417314,C32417314_41604_44630,1694,0
C32473992_16873_21786__2137,0.636776,0.875438,0.602418,0.998061,C32473992,C32473992_16873_21786,2137,0
C32478764_42943_44787__1109,0.852183,0.579459,0.956277,0.998414,C32478764,C32478764_42943_44787,1109,0
C32491818_50781_52637__379,0.422011,0.455393,0.934208,0.545779,C32491818,C32491818_50781_52637,379,0
C32522928_39316_44932__1626,0.896428,0.630669,0.856288,0.687579,C32522928,C32522928_39316_44932,1626,0
C32523436_41188_45977__3587,0.279844,0.426875,0.557686,0.705395,C32523436,C32523436_41188_45977,3587,0
C32533752_63447_63631__76,0.970962,0.857514,0.914794,0.685657,C32533752,C32533752_63447_63631,76,0
C32541624_55489_56166__102,0.543259,0.264739,0.488618,0.774102,C32541624,C32541624_55489_56166,102,0
C32542280_69985_71509__451,0.793118,0.812998,0.918844,0.919161,C32542280,C32542280_69985_71509,451,0
C32568686_112755_113144__240,0.784692,0.996895,0.844243,0.816053,C32568686,C32568686_112755_113144,240,0
C32570504_47707_48491__328,0.799054,0.762425,0.763644,0.902021,C32570504,C32570504_47707_48491,328,0
C32571052_61105_62485__330,0.05914,0.842214,0.0190781,0.201123,C32571052,C32571052_61105_62485,330,1
scaffold102219_38169_46253__5642,0.82932,0.793631,0.87339,0.944038,scaffold102219,scaffold102219_38169_46253,5642,0
scaffold117108_10356_12124__1002,0.61459,0.794663,0.664328,0.925905,scaffold117108,scaffold117108_10356_12124,1002,0
scaffold122334_425875_436183__1062,0.998238,0.902324,0.485546,0.640199,scaffold122334,scaffold122334_425875_436183,1062,0
scaffold139291_14199_15471__232,0.805606,0.787409,0.880127,0.971454,scaffold139291,scaffold139291_14199_15471,232,0
scaffold142784.1_3621_6743__2160,0.817073,0.997464,0.809548,0.964542,scaffold142784.1,scaffold142784.1_3621_6743,2160,0
scaffold144575.1_5043_6030__197,0.758656,0.827832,0.592713,0.99733,scaffold144575.1,scaffold144575.1_5043_6030,197,0
scaffold144998_103980_104636__310,0.855844,0.316652,0.334203,0.454328,scaffold144998,scaffold144998_103980_104636,310,0
scaffold146414_39565_41428__856,0.750196,0.658563,0.572132,0.486176,scaffold146414,scaffold146414_39565_41428,856,0
scaffold170650.1_5981_9532__1830,0.914588,0.936415,0.881507,0.895958,scaffold170650.1,scaffold170650.1_5981_9532,1830,0
scaffold171694.2_132924_137083__3781,0.527717,0.973668,0.828653,0.739547,scaffold171694.2,scaffold171694.2_132924_137083,3781,0
scaffold177904.1_101364_114807__2918,0.257402,0.481452,0.718441,0.600889,scaffold177904.1,scaffold177904.1_101364_114807,2918,0
scaffold18428_18472_25454__5740,0.168387,0.73852,0.352028,0.408935,scaffold18428,scaffold18428_18472_25454,5740,0
scaffold192250.2_81497_85355__2617,0.864299,0.935909,0.965215,0.937244,scaffold192250.2,scaffold192250.2_81497_85355,2617,0
scaffold196432_184844_185237__109,0.792641,0.767024,0.455605,0.972494,scaffold196432,scaffold196432_184844_185237,109,0
scaffold215170_52269_53625__890,0.99516,0.892287,0.821689,0.977921,scaffold215170,scaffold215170_52269_53625,890,0
scaffold218319_13219_21449__5028,0.612388,0.742297,0.642237,0.467168,scaffold218319,scaffold218319_13219_21449,5028,0
scaffold220956.2_78706_80844__719,0.435122,0.283119,0.56108,0.775796,scaffold220956.2,scaffold220956.2_78706_80844,719,0
scaffold235195.2_40106_46373__2715,0.295944,0.206976,0.63738,0.203115,scaffold235195.2,scaffold235195.2_40106_46373,2715,0
scaffold25871.2_119690_120918__999,0.998817,0.959981,0.99381,0.720057,scaffold25871.2,scaffold25871.2_119690_120918,999,0
scaffold260333.2_10963_11361__371,0.972686,0.972187,0.969354,0.706358,scaffold260333.2,scaffold260333.2_10963_11361,371,0
scaffold297454.2_9141_9962__194,0.673454,0.297816,0.302678,0.891893,scaffold297454.2,scaffold297454.2_9141_9962,194,0
